Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-20,202,2,2,962,2830,3000
astro,2016-08-20,208,2,2,1056,3195,3305
astro,2016-08-20,215,1,1,596,1827,1892
astro,2016-08-20,225,1,1,649,2125,2285
astro,2016-08-20,229,1,1,718,2486,2551
astro,2016-08-20,304,1,1,627,1845,2095
astro,2016-08-20,329,1,1,718,2491,2556
astro,2016-08-20,331,1,1,596,1797,1957
astro,2016-08-20,406,0,1,535,1870,1895
astro,2016-08-20,415,1,1,596,1837,1942
astro,2016-08-20,417,1,1,649,2070,2135
astro,2016-08-20,429,1,1,718,2546,2611
astro,2016-08-20,431,1,1,596,1762,2012
astro,2016-08-20,432,1,1,697,2360,2520
astro,2016-08-20,505,1,1,627,1995,2120
astro,2016-08-20,508,2,2,1056,3066,3236
astro,2016-08-20,538,0,1,535,1810,1900
astro,2016-08-20,540,2,2,1000,2872,3042
astro,2016-08-20,641,2,2,962,2900,3070
