Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-13,202,2,2,962,Call,Call
astro,2016-08-13,208,2,2,1056,3365,3485
astro,2016-08-13,215,1,1,596,1822,1892
astro,2016-08-13,225,1,1,649,2110,2390
astro,2016-08-13,229,1,1,718,2481,2816
astro,2016-08-13,231,1,1,596,1772,1842
astro,2016-08-13,304,1,1,627,1840,2200
astro,2016-08-13,306,0,1,535,1780,1810
astro,2016-08-13,317,1,1,649,2060,2130
astro,2016-08-13,324,1,1,697,2210,2280
astro,2016-08-13,329,1,1,718,2486,2556
astro,2016-08-13,406,0,1,535,1875,1945
astro,2016-08-13,429,1,1,718,2541,2611
astro,2016-08-13,431,1,1,596,1757,2117
astro,2016-08-13,432,1,1,697,2345,2625
astro,2016-08-13,440,2,2,1000,Call,Call
astro,2016-08-13,508,2,2,1056,3236,3421
astro,2016-08-13,538,0,1,535,1805,1875
astro,2016-08-13,540,2,2,1000,3042,3227
astro,2016-08-13,624,1,1,697,2275,2345
astro,2016-08-13,641,2,2,962,Call,Call
