Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-04,208,2,2,1056,3365,3550
astro,2016-08-04,215,1,1,596,1902,2252
astro,2016-08-04,229,1,1,718,2561,2911
astro,2016-08-04,231,1,1,596,1852,2202
astro,2016-08-04,306,0,1,535,1790,1860
astro,2016-08-04,317,1,1,649,2140,2210
astro,2016-08-04,324,1,1,697,2290,2360
astro,2016-08-04,329,1,1,718,2591,2686
astro,2016-08-04,406,0,1,535,1870,1940
astro,2016-08-04,415,1,1,596,1837,1932
astro,2016-08-04,416,0,1,464,1555,1625
astro,2016-08-04,429,1,1,718,2621,2971
astro,2016-08-04,431,1,1,596,1867,2227
astro,2016-08-04,432,1,1,697,2420,2735
astro,2016-08-04,507,1,1,651,2087,2157
astro,2016-08-04,508,2,2,1056,3236,3421
astro,2016-08-04,530,0,1,464,1610,1680
astro,2016-08-04,538,0,1,535,1800,1870
astro,2016-08-04,613,1,1,596,1872,1967
astro,2016-08-04,624,1,1,697,2355,2425
