Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-16,202,2,2,962,3000,3195
astro,2016-08-16,208,2,2,1056,3365,3505
astro,2016-08-16,215,1,1,596,1822,1892
astro,2016-08-16,225,1,1,649,2115,2330
astro,2016-08-16,229,1,1,718,2481,2551
astro,2016-08-16,231,1,1,596,1772,1842
astro,2016-08-16,304,1,1,627,1840,2140
astro,2016-08-16,306,0,1,535,1775,1815
astro,2016-08-16,324,1,1,697,2210,2280
astro,2016-08-16,329,1,1,718,2486,2556
astro,2016-08-16,331,1,1,596,1787,2002
astro,2016-08-16,406,0,1,535,1855,1895
astro,2016-08-16,429,1,1,718,2541,2611
astro,2016-08-16,431,1,1,596,1757,2057
astro,2016-08-16,432,1,1,697,2350,2565
astro,2016-08-16,440,2,2,1000,2987,3182
astro,2016-08-16,508,2,2,1056,3236,3431
astro,2016-08-16,538,0,1,535,1800,1875
astro,2016-08-16,540,2,2,1000,3042,3237
astro,2016-08-16,624,1,1,697,2275,2345
astro,2016-08-16,641,2,2,962,3070,3265
