Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-29,202,2,2,962,2830,2995
astro,2016-08-29,208,2,2,1056,3195,3335
astro,2016-08-29,210,1,1,697,2170,2320
astro,2016-08-29,225,1,1,649,2120,2275
astro,2016-08-29,229,1,1,718,2486,2556
astro,2016-08-29,304,1,1,627,1845,2085
astro,2016-08-29,329,1,1,718,2491,2561
astro,2016-08-29,331,1,1,596,1792,1947
astro,2016-08-29,415,1,1,596,1772,1922
astro,2016-08-29,429,1,1,718,2546,2616
astro,2016-08-29,432,1,1,697,2355,2510
astro,2016-08-29,435,2,2,1056,3061,3226
astro,2016-08-29,505,1,1,627,1990,2105
astro,2016-08-29,508,2,2,1056,3066,3231
astro,2016-08-29,538,0,1,535,1755,1855
astro,2016-08-29,640,2,2,971,2829,2994
astro,2016-08-29,641,2,2,962,2900,3065
