Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-17,208,2,2,1056,2841,3731
astro,2016-12-17,232,1,1,697,2195,3495
astro,2016-12-17,235,2,2,1056,2841,3816
astro,2016-12-17,241,2,2,962,2645,3535
astro,2016-12-17,327,1,1,596,1720,2900
astro,2016-12-17,338,0,1,535,Call,Call
astro,2016-12-17,418,1,1,761,2120,3185
astro,2016-12-17,427,1,1,596,1895,3225
astro,2016-12-17,428,0,1,464,1680,2320
astro,2016-12-17,519,1,1,784,2340,3405
astro,2016-12-17,604,1,1,627,1855,2920
astro,2016-12-17,627,1,1,596,1905,2965
