Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-10-31,208,2,2,1056,2940,3290
astro,2016-10-31,210,1,1,697,1960,2100
astro,2016-10-31,224,1,1,697,2010,2150
astro,2016-10-31,238,0,1,535,1765,1980
astro,2016-10-31,241,2,2,962,2600,2950
astro,2016-10-31,302,2,2,962,2580,2835
astro,2016-10-31,327,1,1,596,1637,2152
astro,2016-10-31,335,2,2,1056,2801,3151
astro,2016-10-31,401,1,1,604,1829,2349
astro,2016-10-31,430,0,1,464,1620,1775
astro,2016-10-31,432,1,1,697,2070,2210
astro,2016-10-31,519,1,1,784,2365,2885
astro,2016-10-31,525,1,1,649,1915,2445
astro,2016-10-31,608,2,2,1056,2876,3241
astro,2016-10-31,633,1,1,679,2021,2551
