Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-05,208,2,2,1056,2736,3706
astro,2016-12-05,217,1,1,649,1835,2980
astro,2016-12-05,235,2,2,1056,2736,3706
astro,2016-12-05,241,2,2,962,2540,3510
astro,2016-12-05,327,1,1,596,1660,2805
astro,2016-12-05,335,2,2,1056,2741,3711
astro,2016-12-05,401,1,1,604,1629,2569
astro,2016-12-05,407,1,1,651,1757,2697
astro,2016-12-05,418,1,1,761,2035,3090
astro,2016-12-05,427,1,1,596,1810,3020
astro,2016-12-05,428,0,1,464,1540,2160
astro,2016-12-05,519,1,1,784,2255,3310
astro,2016-12-05,627,1,1,596,1820,2870
astro,2016-12-05,636,1,1,683,1750,2895
