Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-11-10,208,2,2,1056,2781,3131
astro,2016-11-10,217,1,1,649,1920,2185
astro,2016-11-10,224,1,1,697,2000,2260
astro,2016-11-10,238,0,1,535,1715,1790
astro,2016-11-10,241,2,2,962,2585,2935
astro,2016-11-10,302,2,2,962,2565,2915
astro,2016-11-10,307,1,1,651,1787,2052
astro,2016-11-10,327,1,1,596,1745,2010
astro,2016-11-10,335,2,2,1056,2786,3136
astro,2016-11-10,401,1,1,604,1804,2084
astro,2016-11-10,407,1,1,651,1917,2212
astro,2016-11-10,430,0,1,464,1535,1610
astro,2016-11-10,432,1,1,697,2060,2320
astro,2016-11-10,519,1,1,784,2295,2580
astro,2016-11-10,524,1,1,697,2150,2430
astro,2016-11-10,534,1,1,761,2030,2315
astro,2016-11-10,608,2,2,1056,2816,3171
astro,2016-11-10,636,1,1,683,1835,2100
