Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-08-04,210,1,1,697,2300,2300
astro,2017-08-04,212,0,1,464,1625,1625
astro,2017-08-04,317,1,1,649,2300,2300
astro,2017-08-04,406,0,1,535,1800,1800
astro,2017-08-04,415,1,1,596,2025,2025
astro,2017-08-04,440,2,2,1000,3475,3475
astro,2017-08-04,513,1,1,596,2050,2050
astro,2017-08-04,514,0,1,464,1700,1700
astro,2017-08-04,519,1,1,784,2625,2625
astro,2017-08-04,539,1,1,627,2125,2125
astro,2017-08-04,613,1,1,596,2075,2075
astro,2017-08-04,615,1,1,596,2075,2075
