Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-11-16,225,1,1,649,1650,1650
astro,2017-11-16,229,1,1,718,1750,1750
astro,2017-11-16,232,1,1,697,1725,1725
astro,2017-11-16,238,0,1,535,1575,1575
astro,2017-11-16,305,1,1,627,1695,1695
astro,2017-11-16,318,1,1,761,1850,1850
astro,2017-11-16,324,1,1,697,1850,1850
astro,2017-11-16,331,1,1,596,1675,1675
astro,2017-11-16,402,2,2,962,2627,2675
astro,2017-11-16,410,1,1,697,1775,1775
astro,2017-11-16,419,1,1,784,1850,1850
astro,2017-11-16,432,1,1,697,1775,1775
astro,2017-11-16,438,0,1,535,1600,1600
astro,2017-11-16,439,1,1,627,1695,1695
astro,2017-11-16,508,2,2,1056,2800,2800
astro,2017-11-16,527,1,1,596,1675,1675
astro,2017-11-16,623,1,1,761,2600,2600
astro,2017-11-16,625,1,1,649,1750,1750
astro,2017-11-16,641,2,2,962,2725,2725
