Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-11-05,208,2,2,1056,2796,3146
astro,2016-11-05,224,1,1,697,2010,2275
astro,2016-11-05,238,0,1,535,1735,1810
astro,2016-11-05,241,2,2,962,2600,2950
astro,2016-11-05,302,2,2,962,2580,2930
astro,2016-11-05,307,1,1,651,1832,2107
astro,2016-11-05,327,1,1,596,1815,2090
astro,2016-11-05,335,2,2,1056,2801,3151
astro,2016-11-05,401,1,1,604,1809,2089
astro,2016-11-05,407,1,1,651,Call,Call
astro,2016-11-05,430,0,1,464,1590,1740
astro,2016-11-05,432,1,1,697,2070,2335
astro,2016-11-05,519,1,1,784,2340,2630
astro,2016-11-05,524,1,1,697,2130,2410
astro,2016-11-05,525,1,1,649,1880,2160
astro,2016-11-05,534,1,1,761,2075,2365
astro,2016-11-05,608,2,2,1056,2851,3211
astro,2016-11-05,636,1,1,683,1905,2180
