Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-11-03,208,2,2,1056,2955,3300
astro,2016-11-03,224,1,1,697,2010,2455
astro,2016-11-03,238,0,1,535,1735,1785
astro,2016-11-03,241,2,2,962,2615,2960
astro,2016-11-03,302,2,2,962,2595,2940
astro,2016-11-03,327,1,1,596,1642,2097
astro,2016-11-03,335,2,2,1056,2816,3161
astro,2016-11-03,401,1,1,604,1814,2269
astro,2016-11-03,430,0,1,464,1585,1740
astro,2016-11-03,432,1,1,697,2070,2515
astro,2016-11-03,519,1,1,784,2365,2815
astro,2016-11-03,525,1,1,649,1890,2365
astro,2016-11-03,608,2,2,1056,2871,3226
astro,2016-11-03,633,1,1,679,1996,2471
