Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-30,202,2,2,962,2830,2970
astro,2016-08-30,208,2,2,1056,3195,3340
astro,2016-08-30,210,1,1,697,2205,2385
astro,2016-08-30,225,1,1,649,2105,2390
astro,2016-08-30,229,1,1,718,2486,2556
astro,2016-08-30,232,1,1,697,Call,Call
astro,2016-08-30,304,1,1,627,1845,2200
astro,2016-08-30,329,1,1,718,2491,2561
astro,2016-08-30,331,1,1,596,1777,2062
astro,2016-08-30,415,1,1,596,1762,1987
astro,2016-08-30,429,1,1,718,2546,2616
astro,2016-08-30,432,1,1,697,2340,2625
astro,2016-08-30,435,2,2,1056,3061,3201
astro,2016-08-30,505,1,1,627,1975,2085
astro,2016-08-30,508,2,2,1056,3066,3206
astro,2016-08-30,538,0,1,535,1830,1855
astro,2016-08-30,640,2,2,971,2829,2969
astro,2016-08-30,641,2,2,962,2900,3040
