Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-19,208,2,2,1056,2836,3731
astro,2016-12-19,232,1,1,697,2195,3520
astro,2016-12-19,235,2,2,1056,2836,3816
astro,2016-12-19,241,2,2,962,2640,3535
astro,2016-12-19,327,1,1,596,1725,2900
astro,2016-12-19,338,0,1,535,1845,2790
astro,2016-12-19,418,1,1,761,2115,3185
astro,2016-12-19,427,1,1,596,1890,3250
astro,2016-12-19,428,0,1,464,1660,2320
astro,2016-12-19,519,1,1,784,2335,3405
astro,2016-12-19,604,1,1,627,1850,2920
astro,2016-12-19,627,1,1,596,1900,3260
