Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-11-28,208,2,2,1056,2736,3546
astro,2016-11-28,217,1,1,649,1830,2975
astro,2016-11-28,235,2,2,1056,2736,3546
astro,2016-11-28,238,0,1,535,1700,2130
astro,2016-11-28,241,2,2,962,2540,3350
astro,2016-11-28,306,0,1,535,1715,2375
astro,2016-11-28,307,1,1,651,1677,2817
astro,2016-11-28,325,1,1,649,1765,2905
astro,2016-11-28,327,1,1,596,1655,2595
astro,2016-11-28,335,2,2,1056,2741,3551
astro,2016-11-28,401,1,1,604,1624,2564
astro,2016-11-28,407,1,1,651,1752,2692
astro,2016-11-28,427,1,1,596,1795,2860
astro,2016-11-28,428,0,1,464,1545,2210
astro,2016-11-28,432,1,1,697,2015,2935
astro,2016-11-28,518,1,1,761,1890,3035
astro,2016-11-28,519,1,1,784,2240,3305
astro,2016-11-28,627,1,1,596,1805,2865
astro,2016-11-28,636,1,1,683,1745,2890
