Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-28,208,2,2,1056,2886,3881
astro,2016-12-28,232,1,1,697,2185,3020
astro,2016-12-28,235,2,2,1056,2886,3881
astro,2016-12-28,237,1,1,692,1650,2055
astro,2016-12-28,241,2,2,962,2690,3685
astro,2016-12-28,327,1,1,596,1795,2690
astro,2016-12-28,338,0,1,535,1815,2790
astro,2016-12-28,418,1,1,761,2075,2975
astro,2016-12-28,427,1,1,596,1850,2750
astro,2016-12-28,428,0,1,464,1630,2320
astro,2016-12-28,519,1,1,784,2295,3195
astro,2016-12-28,604,1,1,627,1810,2710
astro,2016-12-28,627,1,1,596,1860,2755
