Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-01-04,208,2,2,1056,2841,3816
astro,2017-01-04,232,1,1,697,2185,3015
astro,2017-01-04,235,2,2,1056,2841,3816
astro,2017-01-04,237,1,1,692,1650,2055
astro,2017-01-04,241,2,2,962,2645,3620
astro,2017-01-04,338,0,1,535,1770,2830
astro,2017-01-04,418,1,1,761,2055,2970
astro,2017-01-04,427,1,1,596,1830,2745
astro,2017-01-04,428,0,1,464,1565,2360
astro,2017-01-04,433,1,1,679,2071,2901
astro,2017-01-04,519,1,1,784,2275,3190
astro,2017-01-04,604,1,1,627,1790,2705
astro,2017-01-04,627,1,1,596,1840,2755
