Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-12-31,208,2,2,1056,2871,3731
astro,2016-12-31,232,1,1,697,2185,3020
astro,2016-12-31,235,2,2,1056,2871,3731
astro,2016-12-31,237,1,1,692,1650,2055
astro,2016-12-31,241,2,2,962,2675,3535
astro,2016-12-31,327,1,1,596,1790,2690
astro,2016-12-31,338,0,1,535,1790,2780
astro,2016-12-31,418,1,1,761,2070,2970
astro,2016-12-31,427,1,1,596,1845,2750
astro,2016-12-31,428,0,1,464,1600,2315
astro,2016-12-31,433,1,1,679,Call,Call
astro,2016-12-31,519,1,1,784,2290,3195
astro,2016-12-31,604,1,1,627,1805,2710
astro,2016-12-31,627,1,1,596,1855,2755
