Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-11-25,208,2,2,1056,2736,3546
astro,2016-11-25,217,1,1,649,1830,2955
astro,2016-11-25,224,1,1,697,1955,2875
astro,2016-11-25,235,2,2,1056,2736,3546
astro,2016-11-25,238,0,1,535,1700,2130
astro,2016-11-25,241,2,2,962,2540,3350
astro,2016-11-25,306,0,1,535,1720,2375
astro,2016-11-25,307,1,1,651,1672,2797
astro,2016-11-25,325,1,1,649,1760,2885
astro,2016-11-25,327,1,1,596,1655,2780
astro,2016-11-25,335,2,2,1056,2741,3551
astro,2016-11-25,401,1,1,604,1624,2564
astro,2016-11-25,407,1,1,651,1752,2692
astro,2016-11-25,427,1,1,596,1780,2835
astro,2016-11-25,428,0,1,464,1550,2210
astro,2016-11-25,432,1,1,697,2015,2935
astro,2016-11-25,518,1,1,761,1890,3015
astro,2016-11-25,519,1,1,784,2225,3305
astro,2016-11-25,627,1,1,596,1795,2845
astro,2016-11-25,636,1,1,683,1745,2870
