Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-23,202,2,2,962,2830,3000
astro,2016-08-23,208,2,2,1056,3195,3305
astro,2016-08-23,225,1,1,649,2145,2345
astro,2016-08-23,229,1,1,718,2486,2786
astro,2016-08-23,304,1,1,627,1845,2155
astro,2016-08-23,329,1,1,718,2491,2556
astro,2016-08-23,331,1,1,596,1817,2017
astro,2016-08-23,406,0,1,535,1795,1950
astro,2016-08-23,415,1,1,596,1762,1852
astro,2016-08-23,417,1,1,649,2070,2135
astro,2016-08-23,429,1,1,718,2546,2846
astro,2016-08-23,431,1,1,596,1762,2072
astro,2016-08-23,432,1,1,697,2380,2580
astro,2016-08-23,505,1,1,627,2005,2140
astro,2016-08-23,508,2,2,1056,3066,3236
astro,2016-08-23,538,0,1,535,1725,1880
astro,2016-08-23,540,2,2,1000,2872,2977
astro,2016-08-23,640,2,2,971,Call,Call
astro,2016-08-23,641,2,2,962,2900,3070
