Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-10-16,202,2,2,962,2470,2480
astro,2016-10-16,204,1,1,627,1705,2040
astro,2016-10-16,208,2,2,1056,2835,3175
astro,2016-10-16,210,1,1,697,2020,2355
astro,2016-10-16,224,1,1,697,2070,2405
astro,2016-10-16,238,0,1,535,1750,2175
astro,2016-10-16,241,2,2,962,2495,2835
astro,2016-10-16,302,2,2,962,2475,2485
astro,2016-10-16,327,1,1,596,1557,1857
astro,2016-10-16,335,2,2,1056,2706,3116
astro,2016-10-16,430,0,1,464,1620,1755
astro,2016-10-16,432,1,1,697,2075,2400
astro,2016-10-16,641,2,2,962,2540,2550
