Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-11-07,201,1,1,604,1750,1750
astro,2017-11-07,219,1,1,656,1865,1865
astro,2017-11-07,225,1,1,649,1895,1895
astro,2017-11-07,229,1,1,718,2250,2250
astro,2017-11-07,238,0,1,535,1575,1575
astro,2017-11-07,302,2,2,962,2700,2700
astro,2017-11-07,322,1,1,784,2085,2085
astro,2017-11-07,331,1,1,596,1715,1715
astro,2017-11-07,410,1,1,697,1975,1975
astro,2017-11-07,419,1,1,784,2100,2100
astro,2017-11-07,424,1,1,697,2015,2015
astro,2017-11-07,439,1,1,627,1775,1775
astro,2017-11-07,522,1,1,784,2150,2150
astro,2017-11-07,625,1,1,649,1965,1965
astro,2017-11-07,637,1,1,692,1815,1815
astro,2017-11-07,641,2,2,962,2800,2800
