Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-11-02,201,1,1,604,1800,1800
astro,2017-11-02,219,1,1,656,1865,1865
astro,2017-11-02,225,1,1,649,1975,1975
astro,2017-11-02,229,1,1,718,2325,2325
astro,2017-11-02,238,0,1,535,1575,1575
astro,2017-11-02,301,1,1,604,1775,1775
astro,2017-11-02,302,2,2,962,2850,2850
astro,2017-11-02,322,1,1,784,2230,2230
astro,2017-11-02,331,1,1,596,1750,1750
astro,2017-11-02,410,1,1,697,2015,2015
astro,2017-11-02,419,1,1,784,2265,2265
astro,2017-11-02,424,1,1,697,2060,2060
astro,2017-11-02,435,2,2,1056,3025,3025
astro,2017-11-02,439,1,1,627,1850,1850
astro,2017-11-02,515,1,1,596,1715,1715
astro,2017-11-02,522,1,1,784,2300,2300
astro,2017-11-02,637,1,1,692,2025,2025
astro,2017-11-02,641,2,2,962,2900,2900
