Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-09-24,202,2,2,962,2565,2600
astro,2016-09-24,208,2,2,1056,2930,3060
astro,2016-09-24,210,1,1,697,2000,2240
astro,2016-09-24,213,1,1,596,1667,1907
astro,2016-09-24,222,1,1,656,1860,2100
astro,2016-09-24,224,1,1,697,2050,2290
astro,2016-09-24,225,1,1,649,1860,1950
astro,2016-09-24,238,0,1,535,1670,1875
astro,2016-09-24,302,2,2,962,2570,2605
astro,2016-09-24,304,1,1,627,1670,1760
astro,2016-09-24,415,1,1,596,1587,1677
astro,2016-09-24,432,1,1,697,2095,2185
astro,2016-09-24,435,2,2,1056,2796,2831
astro,2016-09-24,538,0,1,535,1660,1735
astro,2016-09-24,641,2,2,962,2635,2670
