Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-25,202,2,2,962,2830,2995
astro,2016-08-25,208,2,2,1056,3195,3330
astro,2016-08-25,225,1,1,649,2120,2290
astro,2016-08-25,229,1,1,718,2486,2556
astro,2016-08-25,304,1,1,627,1845,2100
astro,2016-08-25,324,1,1,697,2215,2285
astro,2016-08-25,329,1,1,718,2491,2561
astro,2016-08-25,331,1,1,596,1792,1962
astro,2016-08-25,406,0,1,535,1825,1965
astro,2016-08-25,415,1,1,596,1762,1872
astro,2016-08-25,429,1,1,718,2546,2616
astro,2016-08-25,432,1,1,697,2355,2525
astro,2016-08-25,435,2,2,1056,Call,Call
astro,2016-08-25,505,1,1,627,1990,2110
astro,2016-08-25,508,2,2,1056,3066,3231
astro,2016-08-25,538,0,1,535,1755,1895
astro,2016-08-25,540,2,2,1000,2872,2967
astro,2016-08-25,640,2,2,971,2829,2994
astro,2016-08-25,641,2,2,962,2900,3065
