Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2017-01-02,208,2,2,1056,2861,3816
astro,2017-01-02,232,1,1,697,2190,3015
astro,2017-01-02,235,2,2,1056,2861,3816
astro,2017-01-02,237,1,1,692,1655,2055
astro,2017-01-02,241,2,2,962,2665,3620
astro,2017-01-02,338,0,1,535,1785,2830
astro,2017-01-02,418,1,1,761,2070,2970
astro,2017-01-02,427,1,1,596,1845,2745
astro,2017-01-02,428,0,1,464,1590,2360
astro,2017-01-02,433,1,1,679,2076,2901
astro,2017-01-02,519,1,1,784,2290,3190
astro,2017-01-02,604,1,1,627,1805,2705
astro,2017-01-02,627,1,1,596,1855,2755
