Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
astro,2016-08-22,202,2,2,962,2830,3005
astro,2016-08-22,208,2,2,1056,3195,3310
astro,2016-08-22,225,1,1,649,2145,2295
astro,2016-08-22,229,1,1,718,2486,2551
astro,2016-08-22,304,1,1,627,1845,2105
astro,2016-08-22,329,1,1,718,2491,2556
astro,2016-08-22,331,1,1,596,1817,1967
astro,2016-08-22,406,0,1,535,1855,1895
astro,2016-08-22,415,1,1,596,1762,1847
astro,2016-08-22,417,1,1,649,2070,2135
astro,2016-08-22,429,1,1,718,2546,2611
astro,2016-08-22,431,1,1,596,1762,2022
astro,2016-08-22,432,1,1,697,2380,2530
astro,2016-08-22,505,1,1,627,2005,2140
astro,2016-08-22,508,2,2,1056,3066,3241
astro,2016-08-22,538,0,1,535,1795,1870
astro,2016-08-22,540,2,2,1000,2872,2982
astro,2016-08-22,641,2,2,962,2900,3075
