Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
century,2017-06-04,B12,1,1,770,,
century,2017-06-04,B11,1,1,784,,
century,2017-06-04,B10,1,1,789,,
century,2017-06-04,B8,1,1,802,,
century,2017-06-04,B5,1,1,819,,
century,2017-06-04,C1,2,2.5,1207,,
century,2017-06-04,C3,2,2,1138,3672,3672
century,2017-06-04,C8,2,2,1001,,
century,2017-06-04,C6,2,2,1038,,
century,2017-06-04,C5,2,2,1074,,
century,2017-06-04,C4,2,2,1084,,
century,2017-06-04,C2,2,2,1139,,
century,2017-06-04,C7,2,1.5,1009,,
century,2017-06-04,C9,2,1,941,,
century,2017-06-04,D1,3,2,1326,,
