Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
century,2016-08-01,A3,0,1,537,1741,1741
century,2016-08-01,A1,0,1,588,1564,1564
century,2016-08-01,A2,0,1,540,,
century,2016-08-01,A1,0,1,588,,
century,2016-08-01,B6,1,1.5,805,,
century,2016-08-01,B7,1,1.5,805,,
century,2016-08-01,B20,1,1.5,820,,
century,2016-08-01,B3,1,1.5,854,,
century,2016-08-01,B2,1,1.5,908,,
century,2016-08-01,B1,1,1.5,926,,
century,2016-08-01,BN2,1,1,594,2347,2347
century,2016-08-01,B11,1,1,784,2764,2764
century,2016-08-01,BN2,1,1,594,,
century,2016-08-01,BN1,1,1,671,,
century,2016-08-01,BN1,1,1,671,,
century,2016-08-01,B20,1,1,672,,
century,2016-08-01,B19,1,1,702,,
century,2016-08-01,B18,1,1,714,,
century,2016-08-01,B18,1,1,714,,
century,2016-08-01,B17,1,1,721,,
century,2016-08-01,C5,2,2,1074,,
century,2016-08-01,C5,2,2,1074,,
century,2016-08-01,C3,2,2,1138,,
century,2016-08-01,C7,2,1.5,1009,,
century,2016-08-01,C9,2,1,941,3204,3204
century,2016-08-01,D1,3,2,1326,,
