Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
century,2016-08-22,A1,Studio,1,588,1764,1764
century,2016-08-22,A3,Studio,1,537,,
century,2016-08-22,A2,Studio,1,540,,
century,2016-08-22,A1,Studio,1,588,,
century,2016-08-22,B6,1,1.5,805,,
century,2016-08-22,B7,1,1.5,805,,
century,2016-08-22,B20,1,1.5,820,,
century,2016-08-22,B3,1,1.5,854,,
century,2016-08-22,B2,1,1.5,908,,
century,2016-08-22,B1,1,1.5,926,,
century,2016-08-22,B11,1,1,784,2815,2815
century,2016-08-22,B9,1,1,802,2591,2591
century,2016-08-22,BN2,1,1,594,,
century,2016-08-22,BN2,1,1,594,,
century,2016-08-22,BN1,1,1,671,,
century,2016-08-22,BN1,1,1,671,,
century,2016-08-22,B20,1,1,672,,
century,2016-08-22,B19,1,1,702,,
century,2016-08-22,B18,1,1,714,,
century,2016-08-22,B18,1,1,714,,
century,2016-08-22,C3,2,2,1138,,
century,2016-08-22,C3,2,2,1138,,
century,2016-08-22,C2,2,2,1139,,
century,2016-08-22,C7,2,1.5,1009,,
century,2016-08-22,C9,2,1,941,3200,3200
century,2016-08-22,D1,3,2,1326,,
