Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
century,2016-08-18,B17,1,1,721,,
century,2016-08-18,B16,1,1,740,,
century,2016-08-18,B15,1,1,747,,
century,2016-08-18,B15,1,1,747,,
century,2016-08-18,B14,1,1,751,,
century,2016-08-18,B14,1,1,751,,
century,2016-08-18,B13,1,1,753,,
century,2016-08-18,B12,1,1,770,,
century,2016-08-18,B10,1,1,789,,
century,2016-08-18,B8,1,1,802,,
century,2016-08-18,B9,1,1,802,,
century,2016-08-18,B9,1,1,802,,
century,2016-08-18,B5,1,1,819,,
century,2016-08-18,B4,1,1,833,,
century,2016-08-18,C1,2,2.5,1207,,
century,2016-08-18,C3,2,2,1138,3005,3005
century,2016-08-18,C8,2,2,1001,,
century,2016-08-18,C6,2,2,1038,,
century,2016-08-18,C5,2,2,1074,,
century,2016-08-18,C5,2,2,1074,,
