Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
century,2017-01-31,A3,Studio,1,537,1949,1949
century,2017-01-31,A2,Studio,1,540,1990,1990
century,2017-01-31,A1,Studio,1,588,,
century,2017-01-31,A1,Studio,1,588,,
century,2017-01-31,B6,1,1.5,805,,
century,2017-01-31,B7,1,1.5,805,,
century,2017-01-31,B20,1,1.5,820,,
century,2017-01-31,B3,1,1.5,854,,
century,2017-01-31,B2,1,1.5,908,,
century,2017-01-31,B1,1,1.5,926,,
century,2017-01-31,B15,1,1,747,2340,2340
century,2017-01-31,B13,1,1,753,2500,2500
century,2017-01-31,B11,1,1,784,2655,2655
century,2017-01-31,B4,1,1,833,2480,2480
century,2017-01-31,BN2,1,1,594,,
century,2017-01-31,BN2,1,1,594,,
century,2017-01-31,BN1,1,1,671,,
century,2017-01-31,BN1,1,1,671,,
century,2017-01-31,B20,1,1,672,,
century,2017-01-31,B19,1,1,702,,
century,2017-01-31,C4,2,2,1084,,
century,2017-01-31,C3,2,2,1138,,
century,2017-01-31,C2,2,2,1139,,
century,2017-01-31,C7,2,1.5,1009,3180,3180
century,2017-01-31,C9,2,1,941,,
century,2017-01-31,D1,3,2,1326,,
