Property,Date,Unit,Bedroom,Bathroom,SQFT,Low Rent,High Rent
century,2017-04-17,B12,1,1,770,,
century,2017-04-17,B11,1,1,784,,
century,2017-04-17,B10,1,1,789,,
century,2017-04-17,B8,1,1,802,,
century,2017-04-17,B5,1,1,819,,
century,2017-04-17,C1,2,2.5,1207,3463,3463
century,2017-04-17,C5,2,2,1074,3205,3205
century,2017-04-17,C8,2,2,1001,,
century,2017-04-17,C6,2,2,1038,,
century,2017-04-17,C4,2,2,1084,,
century,2017-04-17,C3,2,2,1138,,
century,2017-04-17,C2,2,2,1139,,
century,2017-04-17,C7,2,1.5,1009,,
century,2017-04-17,C9,2,1,941,,
century,2017-04-17,D1,3,2,1326,,
